dataset,family,domain,origin,modalities,scale,labels_or_targets,temporal_scope,access,license,cosmos_alignment,cosmos_gaps_filled,recommended_use,main_limit,priority,source_url,evidence_status
Cosmos 3 SDG-Warehouse,Cosmos baseline,warehouse safety,synthetic,"RGB video; depth; instance segmentation; edges; 2D/3D boxes; camera parameters","~123K clips; 1080p; 30 FPS","near-miss; fire evacuation; forklift collision; box pickup; dense geometry",seconds,"Hugging Face; gated/terms apply","OpenMDW-1.1 / dataset terms","Native Cosmos generator and reasoner supervision","G16; G22","spatial grounding; rare-event generation; safety reasoning","Synthetic warehouse scope; no PLC; no machine health; sim-to-real gap",baseline,https://huggingface.co/datasets/nvidia/PhysicalAI-WorldModel-Synthetic-Warehouse-Operations-Scenes,verified
Cosmos 3 SDG-PhyxSim,Cosmos baseline,rigid-body physics,synthetic,"RGB video; depth; masks; velocity; rotation; camera state","76,489 simulation runs; four views","dense per-object physical state and identity",seconds,"Hugging Face; terms apply","OpenMDW-1.1 / dataset terms","Native Cosmos physical-dynamics supervision","G09; G16; G22","forward dynamics; physical plausibility; controlled counterfactuals","Rigid-body scenes do not capture machine internals or wear",baseline,https://huggingface.co/datasets/nvidia/PhysicalAI-WorldModel-Synthetic-Physical-Interaction-Scenes,verified
Cosmos 3 SDG-RobotSim,Cosmos baseline,robot manipulation and motion,synthetic,"RGB video; simulator state; robot pose; joint/end-effector state; contacts where available","386,270 clips","task; embodiment; scene; success; simulator state",seconds-to-minutes,"Hugging Face; terms apply","OpenMDW-1.1 / dataset terms","Native Cosmos action and video pretraining","G02; G09; G12","robot embodiment priors; contact understanding; action-conditioned video","Synthetic; heterogeneous metadata; not factory process control",baseline,https://huggingface.co/datasets/nvidia/PhysicalAI-WorldModel-Synthetic-Embodied-Robot-Scenes,verified
Cosmos3-DROID,Cosmos baseline,robot manipulation,real,"multi-view RGB video; robot action; success/failure subsets","DROID-derived; thousands of robot episodes","action; video transition; success/failure",episode,"Hugging Face; terms apply","OpenMDW-1.1 / source terms","Native Cosmos policy post-training","G02; G05; G09","forward/inverse dynamics; policy; failure prediction","Robot manipulation only; no factory telemetry or product quality",baseline,https://huggingface.co/datasets/nvidia/Cosmos3-DROID,verified
MVTec AD,visual inspection,manufacturing inspection,real,"high-resolution RGB images; pixel masks","5,354 images; 15 categories","normal/anomaly; defect type; pixel-precise mask",single frame,public download,CC BY-NC-SA 4.0,"Strong reasoner/grounding transfer; weak generator/action alignment","G05; G06; G10","visual anomaly localization baseline","Small and saturated; noncommercial; no temporal or machine context",P1,https://www.mvtec.com/company/research/datasets/mvtec-ad,verified
MVTec AD 2,visual inspection,advanced manufacturing inspection,real,"high-resolution RGB images; pixel masks; lighting-shift test","8,004 images; 8 scenarios","normal/anomaly; pixel-precise ground truth via server",single frame,public images plus evaluation server,CC BY-NC-SA 4.0,"Reasoner grounding and OOD evaluation","G05; G06; G10; G21","hard OOD visual inspection; tiny defects; lighting robustness","Noncommercial; private test labels; no temporal/action streams",P0,https://www.mvtec.com/company/research/datasets/mvtec-ad-2,verified
MVTec LOCO AD,visual inspection,logical and structural inspection,real,"RGB images; pixel masks","3,644 images; 5 categories","structural anomaly; logical anomaly; pixel ground truth",single frame,public download,CC BY-NC-SA 4.0,"Adds semantic state reasoning beyond texture defects","G05; G06; G10; G12","missing/wrong component and arrangement reasoning","Noncommercial; small; static only",P1,https://www.mvtec.com/research-teaching/datasets/mvtec-loco-ad,verified
MVTec 3D-AD,3D inspection,manufacturing inspection,real,"RGB; 3D point cloud/range data; anomaly masks",">4,000 scans; 10 categories","3D anomaly localization; pixel/point-level ground truth",single scan,public download,CC BY-NC-SA 4.0,"Aligns with Cosmos depth/geometry tokens","G05; G10; G16","geometry-aware inspection and RGB-vs-depth ablation","Noncommercial; static object scans; no actions",P1,https://www.mvtec.com/research-teaching/datasets/mvtec-3d-ad,verified
VisA,visual inspection,manufacturing inspection,real,"RGB images; image and pixel annotations","10,821 images; 12 classes; 9,621 normal; 1,200 anomaly","normal/anomaly; pixel mask",single frame,open AWS registry,CC BY 4.0,"Reasoner and grounding specialization","G05; G06; G10","commercially friendlier visual inspection anchor","Static and curated; no process context or temporal causality",P0,https://registry.opendata.aws/visa/,verified
Real-IAD,visual inspection,real production-line inspection,real,"multi-view high-resolution RGB images; masks","151,050 images; 30 objects","normal/anomaly; seven defect families; sample-level evaluation",multi-view sample,auto-approved Hugging Face access,CC BY-NC-SA 4.0,"Closest large real visual anchor for Cosmos reasoner","G05; G06; G08; G10","multi-view real inspection pretraining and OOD split","Very large storage; noncommercial; no machine telemetry/action",P0,https://huggingface.co/datasets/Real-IAD/Real-IAD,verified
Real-IAD D3,3D inspection,real production-line inspection,real,"2D; pseudo-3D; 3D","large-scale companion to Real-IAD","anomaly labels across 2D/3D settings",multi-view sample,project download/research access,"verify dataset terms before use","Bridges Cosmos RGB and geometry pathways","G05; G10; G16","2D-versus-3D industrial anomaly studies","Exact license and storage must be confirmed",P1,https://realiad4ad.github.io/Real-IAD_D3/,needs_legal_check
MIMII,machine sound,machine condition monitoring,real,"8-channel 16 kHz audio","valves; pumps; fans; slide rails; multiple SNR conditions","machine ID; normal/anomalous; domain conditions",10-second clips,Zenodo public,CC BY-SA 4.0,"Uses Cosmos audio pathway but lacks aligned vision/action","G05; G06; G11; G21","machine acoustic anomaly pretraining and domain-shift evaluation","No vibration; no visual alignment; share-alike obligations",P0,https://zenodo.org/records/3384388,verified
DCASE 2025 Task 2,machine sound,machine condition monitoring,real-and-toy,"mono machine audio with environmental noise","multiple real/toy machine types; first-shot/unseen types","normal/anomaly; machine type; section; attributes",10-12 second clips,Zenodo and challenge page,"dataset-specific DCASE terms; verify per subset","Audio reasoning and OOD/abstention evaluation","G06; G08; G11; G21","unseen-machine domain generalization benchmark","Audio-only; mixed source licenses; not aligned to control outcomes",P0,https://dcase.community/challenge2025/task-first-shot-unsupervised-anomalous-sound-detection-for-machine-condition-monitoring,verified
CWRU Bearing Data Center,vibration,bearing fault diagnosis,real test rig,"accelerometer vibration; RPM/load metadata","multiple bearing fault sizes; 12/48 kHz sampling","normal; inner race; outer race; ball faults; load",seconds-to-runs,public download,"terms not explicit; verify before redistribution","Requires new time-series encoder; complements Cosmos vision/audio","G06; G11","bearing fault classification and load robustness","Lab rig; seeded faults; license unclear; limited real degradation",P1,https://engineering.case.edu/bearingdatacenter/download-data-file,needs_legal_check
Paderborn Bearing Data Center,vibration and electrical,bearing condition monitoring,real test rig,"vibration; motor current; speed; torque; load","32 bearings; multiple operating conditions and damage types","artificial and real damage; operating condition",runs,public research download,CC BY-NC 4.0,"Adds hidden machine-state modalities absent from Cosmos public data","G06; G08; G11","multi-sensor fault diagnosis and cross-load split","Noncommercial; test-rig domain; not long-horizon field failure",P1,https://mb.uni-paderborn.de/en/kat/research/bearing-datacenter,verified
XJTU-SY Bearing Dataset,predictive maintenance,run-to-failure bearings,real test rig,"two-channel vibration","15 run-to-failure bearings; 3 operating conditions","degradation trajectory; failure endpoint; RUL target",hours-to-lifetime,public research download,"terms must be verified","Adds long-horizon state evolution to Cosmos short clips","G04; G06; G11","RUL and degradation representation learning","Small number of assets; lab rig; license unclear",P0,https://biaowang.tech/xjtu-sy-bearing-datasets/,needs_legal_check
NASA C-MAPSS,predictive maintenance,turbofan degradation,simulated physical system,"multivariate sensor time series; operating settings","multiple fleets and fault modes","cycles-to-failure; RUL",full asset life,public NASA repository,"US Government / repository terms; verify specific files","World-state transition learning without visual inputs","G04; G06; G08","RUL baseline; asset-held-out temporal validation","Simulation; no raw audio/video; simplified degradation",P1,https://www.nasa.gov/intelligent-systems-division/discovery-and-systems-health/pcoe/pcoe-data-set-repository/,verified
AI4I 2020,predictive maintenance,manufacturing machine failure,synthetic tabular,"temperature; rotational speed; torque; tool wear; product type","10,000 rows; 6 predictive features","machine failure and failure modes",row/cycle,UCI public,CC BY 4.0,"Useful schema prototype; weak physical richness","G03; G04; G06","pipeline smoke tests; causal/tabular baselines","Fully synthetic; low-dimensional; not evidence of factory readiness",P2,https://archive.ics.uci.edu/dataset/601/ai4i+2020+predictive+maintenance+dataset,verified
Bosch Production Line Performance,process quality,high-volume manufacturing,real anonymized tabular,"numeric; categorical; timestamped station features","1,183,747 train rows; rare failures around 0.58%","product failure outcome; station/event features",production route,Kaggle competition archive,competition terms; no redistribution,"Adds outcome and process-route supervision absent from Cosmos","G03; G08; G14; G15","rare-event quality prediction and leakage-safe split design","Anonymized; no raw sensor/video; restrictive reuse terms",P1,https://bosch.themachinist.org/docs/data_card/,needs_legal_check
Tennessee Eastman Reference Data,process and control,chemical process,simulated,"multivariate process measurements; manipulated variables; setpoints","28 faults; 6 operating modes; 500 seeds per fault; 100-hour simulations","fault ID; operating mode; transitions; setpoint changes",100 hours at 3-minute sampling,open DTU data,CC0,"Best open proxy for Cosmos forward/inverse process dynamics","G01; G02; G04; G06; G09","process world modeling; intervention-conditioned forecasting; fault diagnosis","Simulated chemical process; no image/audio; 132.96 GB full corpus",P0,https://data.dtu.dk/articles/dataset/Tennessee_Eastman_Reference_Data_for_Fault-Detection_and_Decision_Support_Systems/13385936,verified
SWaT,process and control,water treatment cyber-physical system,real testbed,"51 sensors/actuators; process state; network traffic","11 continuous days; 7 normal; 4 attack; 41 attacks","normal/attack; attack interval; process variables",days,request-based free research access,research access agreement,"Supplies state-action trajectories missing from Cosmos industry data","G01; G02; G06; G09; G13; G14","multivariate anomaly detection; causal process-state modeling","Security attacks are not identical to equipment faults; gated terms",P0,https://www.sutd.edu.sg/itrust/itrust-labs/datasets/dataset-characteristics/swat/,verified
HAI,process and control,power and water industrial control,HIL-plus-real-testbed,"SCADA time series; controller points; attack targets; DCS logic in HAIEnd","HAI 23.05: 86 process points; hundreds of hours; 79 attacks","normal/attack; target controller/point; endpoint logic",hundreds of hours,GitHub/Kaggle public,CC BY-SA 4.0,"Adds industrial state/action graph and time-aware anomaly supervision","G01; G02; G06; G09; G13; G14","ICS anomaly detection; process graph reasoning; eTaPR evaluation","Attack-centric; no video/audio; share-alike obligations",P0,https://github.com/icsdataset/hai,verified
Assembly101,procedural assembly,human assembly,real,"12 synchronized views; RGB video; 3D hand poses","4,321 videos; 513 hours; 101 toy assemblies; >1M fine action segments","coarse/fine actions; mistakes; corrections; skill; hand pose",long procedures,public download,CC BY-NC 4.0,"Strong temporal reasoner transfer; weak robot action control","G05; G08; G12; G21","step recognition; anticipation; mistake detection; cross-view learning","Toy assembly; human-only; noncommercial; no force/PLC/outcomes",P1,https://assembly-101.github.io/,verified
REASSEMBLE,contact-rich robot assembly,robotic assembly and disassembly,real,"multi-view RGB; event camera; 3 microphones; force/torque; proprioception; robot actions","4,551 demonstrations; 4,035 successful; 781 minutes; 17 objects","pick/insert/remove/place; success/failure; synchronized timestamps",task episode,public project dataset,"website CC BY-SA 4.0; verify dataset archive terms","Very high alignment with Cosmos vision-audio-action world modeling","G02; G05; G07; G09; G11; G12","joint sensor-action prediction; contact event understanding; recovery","Narrow task board; license wording for data archive needs confirmation",P0,https://tuwien-asl.github.io/REASSEMBLE_page/,needs_legal_check
RH20T,multimodal robot manipulation,contact-rich robot skills,real,"global and in-hand RGB-D; force/torque; audio; action; human demo; language","over 110,000 sequences; 147 tasks across diverse robots and contexts","skill/action; robot state; demonstrations; language",task episode,public project dataset,"verify dataset terms before use","Closest public omnimodal action dataset to Cosmos operational modes","G02; G05; G07; G08; G09; G11; G12","multimodal policy and world-action pretraining","Large storage and calibration complexity; robotics not fixed factory process",P0,https://rh20t.github.io/,needs_legal_check
