group,feature_name,json_path,data_type,required,unit_or_format,source,cadence_or_scope,constraint,missing_policy,privacy,training_role,description
schema,schema_version,$.schema_version,string,yes,semantic version,dataset,episode,must equal 1.0.0,reject,public,routing,Schema version used to validate the record
identity,episode_id,$.episode_id,string,yes,globally unique ID,ingestion,episode,unique and immutable,reject,internal,routing,Primary episode identifier
identity,source_id,$.source_id,string,yes,source record ID,source system,episode,traceable to raw source,reject,restricted,provenance,Immutable source-system identifier
identity,site_id,$.site_id,string,yes,controlled ID,asset registry,episode,nonempty,reject,restricted,split,Factory or facility identifier
identity,line_id,$.line_id,string,no,controlled ID,asset registry,episode,nonempty if present,null,restricted,context,Production line or process-area identifier
identity,asset_id,$.asset_id,string,yes,controlled ID,asset registry,episode,nonempty,reject,restricted,split,Machine or monitored asset identifier
identity,asset_type,$.asset_type,string,yes,taxonomy value,asset registry,episode,controlled vocabulary,reject,public,conditioning,Machine family such as pump motor conveyor or robot
identity,product_id,$.product_id,string,no,controlled ID,MES/traceability,episode,nonempty if present,null,restricted,split,Product or workpiece identifier
identity,batch_id,$.batch_id,string,no,controlled ID,MES/traceability,episode,nonempty if present,null,restricted,split,Production batch identifier
time,start_time,$.time.start_time,string,yes,ISO-8601 UTC,ingestion,episode,must precede end_time,reject,public,temporal,Episode start time
time,end_time,$.time.end_time,string,yes,ISO-8601 UTC,ingestion,episode,must follow start_time,reject,public,temporal,Episode end time
time,duration_s,$.time.duration_s,number,yes,seconds,derived,episode,greater than zero,recompute,public,temporal,Episode duration
time,original_timezone,$.time.original_timezone,string,yes,IANA timezone,source system,episode,valid timezone,reject,public,context,Timezone used at acquisition
time,clock_source,$.time.clock_source,string,yes,PTP/NTP/device/estimated,ingestion,episode,controlled vocabulary,reject,public,synchronization,Reference clock
time,max_clock_error_ms,$.time.max_clock_error_ms,number,yes,milliseconds,synchronization audit,episode,zero or positive,reject,public,synchronization,Worst estimated inter-stream alignment error
observation,video_streams,$.observations.video,array,yes,stream descriptors,camera,episode,at least one stream,reject,restricted,vision,RGB/depth/thermal/event video references
